!SESSION 2022-08-13 09:24:46.053 -----------------------------------------------
eclipse.buildId=4.14.0.202203131612
java.version=17.0.2
java.vendor=Eclipse Adoptium
BootLoader constants: OS=macosx, ARCH=x86_64, WS=cocoa, NL=en_US
Framework arguments:  -product org.springframework.boot.ide.branding.sts4 -keyring /Users/joshuaburlile/.eclipse_keyring
Command-line arguments:  -os macosx -ws cocoa -arch x86_64 -product org.springframework.boot.ide.branding.sts4 -keyring /Users/joshuaburlile/.eclipse_keyring

This is a continuation of log file /Users/joshuaburlile/Desktop/VS_Code/Projects-Algos/DuiHua/DuiHuaApp/.metadata/.bak_0.log
Created Time: 2022-08-14 15:00:02.025

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.026
!MESSAGE classpath=120 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.026
!MESSAGE buffering callback sts4.classpath.JhjCvxwV DuiHua false 120

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.026
!MESSAGE classpath=120 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.026
!MESSAGE buffering callback sts4.classpath.gAvHVdil DuiHua false 120

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.026
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.026
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.027
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.027
!MESSAGE classpath=120 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.027
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.027
!MESSAGE buffering callback sts4.classpath.lUnayYbe DuiHua false 120

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.027
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.027
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.028
!MESSAGE classpath=120 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.028
!MESSAGE classpath=120 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.028
!MESSAGE classpath=120 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.028
!MESSAGE classpath=120 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.029
!MESSAGE buffering callback sts4.classpath.qgxQYNCn DuiHua false 120

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.029
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.029
!MESSAGE buffering callback sts4.classpath.KCXctFOn DuiHua false 120

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.029
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.029
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.029
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.030
!MESSAGE buffering callback sts4.classpath.ivtiHzIW DuiHua false 120

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.030
!MESSAGE buffering callback sts4.classpath.dVBXHEGW DuiHua false 120

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.030
!MESSAGE classpath=120 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.030
!MESSAGE classpath=120 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.030
!MESSAGE buffering callback sts4.classpath.VWRoCDRX DuiHua false 120

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.030
!MESSAGE buffering callback sts4.classpath.wjuiQdeW DuiHua false 120

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.031
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.031
!MESSAGE classpath=120 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.031
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-08-14 15:00:02.031
!MESSAGE buffering callback sts4.classpath.qgxQYNCn DuiHua false 120

